"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Duvall, Adam",594807,2023,353,0.21,0.436,0.347,0.304,0.273,0.226,0.481,0.41,,33.0,13.0,39.1,63.8,34.1,31.0,215,106.0,29.699999999999996
"Kiermaier, Kevin",595281,2023,408,0.259,0.354,0.32,0.3,0.32,0.095,0.372,0.345,,29.4,3.5,33.2,71.6,27.4,30.6,289,102.57,44.199999999999996
"Profar, Jurickson",595777,2023,521,0.247,0.349,0.304,0.306,0.329,0.102,0.319,0.32,,37.7,4.0,31.8,68.8,25.1,20.0,374,101.77,43.699999999999996
"Báez, Javier",595879,2023,547,0.234,0.355,0.261,0.279,0.28,0.121,0.307,0.334,,28.9,5.2,39.7,68.2,44.0,32.7,388,105.5,24.200000000000003
"Lindor, Francisco",596019,2023,687,0.255,0.457,0.346,0.346,0.34,0.202,0.388,0.388,,35.8,10.4,43.9,70.3,27.2,22.8,472,104.59,43.099999999999994
"Kepler, Max",596146,2023,491,0.271,0.503,0.348,0.362,0.344,0.231,0.407,0.428,,35.7,12.2,47.9,70.2,24.9,19.8,336,106.4,45.300000000000004
"Candelario, Jeimer",600869,2023,576,0.236,0.407,0.346,0.318,0.323,0.171,0.4,0.359,,36.9,7.9,36.4,68.1,28.3,24.2,382,104.51,39.8
"Urías, Ramón",602104,2023,396,0.226,0.336,0.31,0.281,0.294,0.111,0.378,0.333,,30.4,6.9,38.1,68.9,28.5,28.7,260,103.61999999999999,40.400000000000006
"Anderson, Brian",605119,2023,361,0.231,0.391,0.299,0.316,0.318,0.161,0.376,0.405,,34.3,10.3,37.1,69.4,28.1,33.3,213,104.69,41.300000000000004
"Bell, Josh",605137,2023,617,0.263,0.457,0.323,0.345,0.341,0.194,0.37,0.403,,31.3,10.1,43.0,70.8,27.8,25.8,416,106.9,43.0
"Betts, Mookie",605141,2023,693,0.294,0.563,0.416,0.407,0.399,0.268,0.45,0.437,,42.5,12.4,48.5,60.3,16.6,16.7,482,104.8,43.699999999999996
"Davis, J.D.",605204,2023,546,0.244,0.411,0.321,0.323,0.325,0.167,0.402,0.405,,33.5,9.6,45.2,79.1,26.5,34.0,334,105.71,52.599999999999994
"Arcia, Orlando",606115,2023,533,0.247,0.398,0.321,0.307,0.306,0.152,0.365,0.345,,30.6,6.9,41.1,65.4,26.4,24.3,389,103.4,39.00000000000001
"Hernández, Teoscar",606192,2023,678,0.258,0.476,0.317,0.336,0.308,0.218,0.435,0.466,,35.2,13.8,49.4,73.0,35.2,35.8,421,107.22,37.8
"Marte, Ketel",606466,2023,650,0.266,0.427,0.361,0.342,0.353,0.161,0.392,0.365,,30.8,8.0,42.8,67.2,24.5,20.5,465,106.66,42.7
"Nimmo, Brandon",607043,2023,682,0.261,0.453,0.359,0.352,0.353,0.193,0.411,0.4,,33.5,9.5,47.9,62.3,19.9,22.0,451,105.2,42.4
"Peterson, Jace",607054,2023,430,0.216,0.332,0.275,0.287,0.309,0.117,0.3,0.319,,33.5,4.7,28.1,60.7,22.9,25.0,278,100.98,37.800000000000004
"Turner, Trea",607208,2023,691,0.266,0.447,0.333,0.33,0.32,0.181,0.399,0.394,,36.1,8.4,42.2,74.2,35.3,29.6,490,104.8,38.900000000000006
"Ramírez, José",608070,2023,691,0.299,0.48,0.346,0.359,0.373,0.182,0.359,0.375,,36.8,7.0,40.4,67.2,28.2,15.6,544,104.57,39.0
"Bregman, Alex",608324,2023,724,0.266,0.43,0.351,0.351,0.368,0.163,0.344,0.344,,35.8,5.4,38.2,61.1,18.6,14.1,537,101.6,42.5
"Seager, Corey",608369,2023,536,0.314,0.612,0.419,0.412,0.381,0.298,0.481,0.472,,38.0,15.2,53.2,83.6,28.1,25.0,395,107.4,55.49999999999999
"Meneses, Joey",608841,2023,657,0.247,0.361,0.314,0.288,0.295,0.115,0.365,0.329,,32.9,5.4,41.7,64.7,31.5,23.6,484,104.0,33.2
"Swanson, Dansby",621020,2023,638,0.255,0.458,0.325,0.345,0.338,0.203,0.381,0.413,,35.1,10.9,39.7,71.3,23.6,28.7,413,104.4,47.699999999999996
"Taylor, Chris",621035,2023,384,0.222,0.402,0.323,0.312,0.312,0.18,0.437,0.417,,38.8,9.8,37.4,71.5,22.1,35.8,214,104.51,49.4
"Correa, Carlos",621043,2023,580,0.253,0.421,0.309,0.33,0.335,0.168,0.353,0.385,,31.1,9.6,45.9,62.1,26.7,25.1,386,107.09,35.400000000000006
"Buxton, Byron",621439,2023,347,0.212,0.425,0.311,0.316,0.303,0.212,0.41,0.418,,33.2,14.6,45.7,72.7,27.9,30.6,199,108.18,44.800000000000004
"Ward, Taylor",621493,2023,409,0.254,0.43,0.329,0.338,0.341,0.176,0.36,0.374,,34.0,8.2,43.9,66.8,23.2,21.1,282,103.9,43.599999999999994
"Olson, Matt",621566,2023,720,0.264,0.558,0.413,0.392,0.374,0.294,0.504,0.47,,31.0,16.4,55.5,71.5,26.0,28.4,445,109.4,45.5
"Mateo, Jorge",622761,2023,350,0.24,0.371,0.265,0.289,0.29,0.131,0.315,0.349,,28.3,5.3,38.5,68.1,33.9,28.1,244,105.7,34.199999999999996
"Ramírez, Harold",623912,2023,434,0.271,0.413,0.349,0.319,0.318,0.142,0.404,0.364,,29.4,4.6,40.7,71.9,43.7,28.1,327,105.2,28.200000000000003
"Santander, Anthony",623993,2023,656,0.237,0.426,0.34,0.319,0.309,0.189,0.409,0.378,,33.0,10.2,46.0,66.9,34.4,23.5,443,106.18,32.50000000000001
"Alonso, Pete",624413,2023,658,0.246,0.527,0.346,0.368,0.343,0.281,0.402,0.436,,32.3,14.7,40.1,61.9,27.4,26.2,421,108.9,34.5
"Conforto, Michael",624424,2023,470,0.245,0.416,0.315,0.33,0.341,0.171,0.354,0.377,,31.9,7.9,39.8,69.0,24.3,24.9,304,104.87000000000002,44.7
"Frazier, Adam",624428,2023,455,0.261,0.361,0.302,0.301,0.319,0.101,0.321,0.319,,40.9,3.1,23.4,67.2,28.7,19.2,350,99.72,38.5
"Soler, Jorge",624585,2023,580,0.262,0.532,0.361,0.374,0.354,0.27,0.437,0.458,,36.5,15.0,48.0,66.7,25.6,27.6,367,107.88000000000001,41.1
"Ibáñez, Andy",628451,2023,383,0.271,0.446,0.32,0.331,0.32,0.175,0.365,0.379,,33.2,9.0,42.9,70.4,35.0,22.6,289,103.23,35.400000000000006
"Cronenworth, Jake",630105,2023,522,0.238,0.37,0.301,0.305,0.321,0.131,0.321,0.327,,35.7,4.4,33.2,67.1,26.4,16.0,367,102.5,40.699999999999996
"Anderson, Tim",641313,2023,524,0.252,0.335,0.26,0.279,0.295,0.082,0.31,0.338,,32.4,2.9,39.4,71.5,35.3,25.3,373,103.2,36.2
"Bellinger, Cody",641355,2023,556,0.268,0.434,0.37,0.327,0.326,0.165,0.414,0.357,,38.0,6.1,31.4,67.8,31.0,20.1,424,102.92,36.8
"Crawford, J.P.",641487,2023,638,0.26,0.384,0.359,0.34,0.375,0.124,0.388,0.359,,35.3,4.8,36.2,58.4,18.6,18.6,414,104.1,39.8
"Fraley, Jake",641584,2023,380,0.261,0.402,0.338,0.328,0.345,0.141,0.373,0.358,,38.0,6.4,30.8,75.5,30.1,24.1,266,102.66,45.4
"Garver, Mitch",641598,2023,344,0.255,0.493,0.374,0.365,0.357,0.238,0.448,0.434,,35.5,12.6,42.1,61.9,17.4,23.7,214,106.57,44.5
"Heim, Jonah",641680,2023,501,0.256,0.435,0.324,0.324,0.318,0.179,0.369,0.37,,34.3,8.0,38.5,73.8,30.5,22.5,364,103.96000000000001,43.3
"McMahon, Ryan",641857,2023,627,0.245,0.445,0.325,0.335,0.328,0.201,0.435,0.452,,39.4,11.4,44.2,67.6,25.4,32.3,360,106.81,42.199999999999996
"Smith, Dominic",642086,2023,586,0.256,0.397,0.306,0.32,0.329,0.141,0.32,0.338,,37.0,6.6,30.8,68.7,30.3,19.9,438,101.86,38.400000000000006
"Tellez, Rowdy",642133,2023,351,0.238,0.374,0.288,0.306,0.315,0.136,0.338,0.365,,35.7,8.7,40.4,52.9,24.2,21.9,230,107.02,28.7
"Siri, Jose",642350,2023,364,0.212,0.442,0.319,0.298,0.259,0.23,0.475,0.441,,33.0,13.2,37.7,69.7,37.9,40.3,212,105.6,31.800000000000004
"Rosario, Amed",642708,2023,545,0.271,0.38,0.297,0.305,0.314,0.109,0.337,0.347,,33.8,3.4,39.4,69.2,39.4,23.1,414,104.18,29.800000000000004
"Adames, Willy",642715,2023,638,0.24,0.436,0.311,0.335,0.332,0.196,0.367,0.406,,35.0,12.4,36.5,71.5,31.8,31.0,394,103.9,39.7
"Estrada, Thairo",642731,2023,530,0.248,0.371,0.316,0.292,0.296,0.123,0.384,0.35,,34.7,4.8,33.7,67.3,38.0,21.5,377,102.86,29.299999999999997
"Benintendi, Andrew",643217,2023,621,0.27,0.375,0.299,0.31,0.334,0.105,0.313,0.327,,40.9,2.9,27.0,70.4,26.6,19.3,477,99.5,43.800000000000004
"Cooper, Garrett",643265,2023,457,0.252,0.43,0.313,0.318,0.306,0.178,0.41,0.418,,40.4,10.3,41.1,66.9,39.5,30.7,292,106.30000000000004,27.400000000000006
"Dubón, Mauricio",643289,2023,492,0.275,0.389,0.311,0.303,0.306,0.114,0.343,0.334,,37.0,4.5,29.5,76.1,40.7,17.7,400,102.24000000000001,35.39999999999999
"Kemp, Tony",643393,2023,419,0.241,0.321,0.276,0.297,0.332,0.081,0.244,0.271,,31.3,1.2,20.4,66.1,23.7,14.5,329,97.23,42.39999999999999
"Kiner-Falefa, Isiah",643396,2023,361,0.254,0.348,0.286,0.295,0.317,0.093,0.315,0.326,,33.5,3.1,39.2,61.2,26.5,19.6,260,103.4,34.7
"McNeil, Jeff",643446,2023,648,0.251,0.34,0.314,0.294,0.316,0.09,0.311,0.285,,32.1,1.3,27.4,75.9,29.9,13.5,526,100.0,46.00000000000001
"Tauchman, Mike",643565,2023,401,0.267,0.4,0.33,0.345,0.375,0.133,0.356,0.38,,37.6,5.5,40.0,64.5,18.8,24.5,255,103.52,45.7
"Albies, Ozzie",645277,2023,660,0.266,0.467,0.358,0.34,0.325,0.201,0.4,0.375,,37.4,8.2,39.0,77.8,35.1,20.6,497,102.76,42.699999999999996
"Devers, Rafael",646240,2023,656,0.282,0.539,0.359,0.38,0.363,0.257,0.411,0.441,,30.0,12.7,55.1,77.1,32.5,26.1,457,108.55,44.599999999999994
"Naylor, Josh",647304,2023,495,0.293,0.478,0.354,0.346,0.342,0.185,0.391,0.382,,35.5,8.2,41.2,76.3,39.5,19.8,391,105.7,36.8
"Díaz, Aledmys",649557,2023,344,0.235,0.327,0.268,0.271,0.288,0.092,0.3,0.304,,27.6,2.8,33.5,70.2,34.3,22.3,254,102.51,35.900000000000006
"Arraez, Luis",650333,2023,617,0.329,0.458,0.369,0.354,0.371,0.129,0.374,0.358,,44.7,3.5,25.7,68.6,31.8,7.9,544,98.67,36.8
"Jiménez, Eloy",650391,2023,489,0.258,0.426,0.325,0.314,0.305,0.168,0.378,0.364,,26.0,9.3,46.8,71.3,36.6,29.7,365,108.38000000000001,34.699999999999996
"Torres, Gleyber",650402,2023,672,0.282,0.478,0.346,0.362,0.357,0.196,0.364,0.385,,37.3,7.9,40.3,68.9,25.9,21.8,504,103.89000000000001,43.00000000000001
"Castro, Willi",650489,2023,409,0.231,0.361,0.327,0.301,0.316,0.131,0.386,0.345,,34.5,6.8,31.8,69.0,34.6,27.9,264,104.44,34.4
"Díaz, Yandy",650490,2023,600,0.305,0.487,0.402,0.383,0.391,0.182,0.439,0.413,,30.5,9.5,54.0,65.5,19.7,18.4,433,108.9,45.8
"De La Cruz, Bryan",650559,2023,626,0.273,0.445,0.309,0.331,0.321,0.172,0.372,0.405,,41.0,8.8,42.5,68.2,34.3,28.7,442,104.33999999999999,33.900000000000006
"Rengifo, Luis",650859,2023,445,0.246,0.403,0.339,0.323,0.327,0.158,0.373,0.351,,29.7,7.6,36.9,74.5,28.7,24.5,316,103.27000000000001,45.8
"Chapman, Matt",656305,2023,581,0.23,0.457,0.328,0.337,0.323,0.228,0.411,0.426,,32.4,17.1,56.4,66.6,18.9,31.1,346,107.78,47.699999999999996
"Joe, Connor",656582,2023,472,0.248,0.404,0.332,0.329,0.34,0.155,0.383,0.377,,37.2,8.2,41.8,59.1,19.6,23.6,304,104.78,39.5
"McKinstry, Zach",656716,2023,518,0.247,0.395,0.289,0.312,0.318,0.148,0.324,0.359,,37.1,7.6,33.5,68.1,27.1,20.5,356,102.37,40.99999999999999
"Mullins II, Cedric",656775,2023,455,0.227,0.356,0.311,0.291,0.302,0.129,0.359,0.329,,28.1,6.5,37.1,70.8,26.7,24.9,310,103.3,44.099999999999994
"O'Hearn, Ryan",656811,2023,368,0.264,0.464,0.339,0.324,0.3,0.2,0.422,0.402,,35.1,10.1,51.5,72.1,30.9,23.3,268,105.1,41.199999999999996
"Schwarber, Kyle",656941,2023,720,0.22,0.485,0.35,0.364,0.362,0.266,0.434,0.46,,34.3,16.4,48.8,55.8,21.6,31.5,373,108.06,34.199999999999996
"Thomas, Lane",657041,2023,682,0.255,0.436,0.334,0.319,0.305,0.181,0.424,0.403,,36.8,9.6,40.7,61.1,27.2,23.0,459,105.5,33.900000000000006
"Verdugo, Alex",657077,2023,602,0.278,0.417,0.322,0.331,0.34,0.139,0.346,0.358,,35.4,5.0,37.6,57.5,22.2,15.6,458,103.65,35.3
"Wong, Connor",657136,2023,403,0.211,0.361,0.292,0.274,0.266,0.15,0.409,0.378,,34.0,9.1,37.8,70.7,34.5,32.3,241,105.5,36.2
"DeJong, Paul",657557,2023,400,0.219,0.361,0.266,0.278,0.271,0.142,0.349,0.368,,34.8,6.7,33.2,71.3,35.8,35.4,253,102.76,35.5
"Laureano, Ramón",657656,2023,404,0.232,0.379,0.298,0.307,0.312,0.148,0.366,0.381,,34.7,9.7,35.9,66.1,27.0,29.0,248,103.44,39.099999999999994
"Sheets, Gavin",657757,2023,344,0.21,0.339,0.261,0.267,0.274,0.129,0.283,0.291,,29.7,5.2,32.5,68.1,29.7,21.7,249,103.32000000000001,38.39999999999999
"Olivares, Edward",658668,2023,385,0.27,0.456,0.329,0.338,0.326,0.185,0.365,0.377,,34.2,7.9,37.7,70.8,31.0,22.9,292,104.2,39.8
"Moncada, Yoán",660162,2023,357,0.257,0.426,0.315,0.314,0.302,0.169,0.426,0.425,,42.5,10.1,39.0,66.1,28.2,30.7,228,104.78,37.89999999999999
"Ohtani, Shohei",660271,2023,599,0.295,0.638,0.433,0.427,0.406,0.343,0.553,0.543,,35.6,19.6,54.2,70.5,29.7,32.3,357,110.9,40.8
"Acuña Jr., Ronald",660670,2023,735,0.357,0.66,0.428,0.46,0.435,0.303,0.45,0.493,,33.6,15.3,55.2,70.7,22.6,18.7,562,111.0,48.1
"Ruiz, Keibert",660688,2023,562,0.274,0.425,0.31,0.322,0.321,0.15,0.319,0.333,,39.4,5.8,31.9,66.6,36.5,14.3,467,101.76,30.099999999999994
"Sánchez, Jesús",660821,2023,402,0.265,0.473,0.334,0.35,0.339,0.208,0.419,0.444,,32.9,12.2,46.3,68.8,31.4,30.1,255,108.84,37.4
"Contreras, William",661388,2023,611,0.255,0.433,0.357,0.335,0.338,0.179,0.411,0.379,,27.1,9.4,48.7,62.6,24.7,28.0,417,108.8,37.900000000000006
"Varsho, Daulton",662139,2023,581,0.232,0.394,0.293,0.302,0.298,0.161,0.342,0.357,,34.3,7.3,36.1,70.6,28.1,24.7,396,106.2,42.49999999999999
"Nootbaar, Lars",663457,2023,503,0.265,0.436,0.344,0.356,0.372,0.171,0.372,0.39,,30.8,8.8,37.8,53.4,17.1,18.5,331,106.3,36.3
"Hoerner, Nico",663538,2023,688,0.273,0.356,0.322,0.311,0.339,0.083,0.327,0.313,,33.2,1.8,33.4,60.5,30.5,12.5,542,101.3,30.0
"Riley, Austin",663586,2023,715,0.273,0.516,0.363,0.365,0.342,0.243,0.449,0.452,,35.2,13.9,49.2,69.9,27.3,27.8,475,109.3,42.60000000000001
"Mountcastle, Ryan",663624,2023,470,0.273,0.503,0.333,0.356,0.333,0.23,0.4,0.433,,35.9,12.1,44.9,73.6,38.7,28.3,323,107.0,34.89999999999999
"Hayes, Ke'Bryan",663647,2023,525,0.27,0.436,0.324,0.321,0.309,0.166,0.384,0.38,,34.1,7.4,48.3,61.0,30.7,21.2,393,105.81,30.3
"Tucker, Kyle",663656,2023,674,0.292,0.53,0.372,0.386,0.38,0.239,0.393,0.412,,35.4,10.6,45.9,71.8,21.6,18.5,492,104.7,50.199999999999996
"India, Jonathan",663697,2023,529,0.252,0.424,0.327,0.339,0.348,0.172,0.356,0.374,,37.2,7.7,38.6,56.9,19.6,22.0,352,103.91000000000001,37.3
"Raleigh, Cal",663728,2023,569,0.233,0.466,0.326,0.33,0.307,0.233,0.415,0.422,,36.5,12.6,41.0,70.9,31.4,29.9,356,106.36,39.50000000000001
