"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Cabrera, Miguel",408234,2023,370,0.247,0.363,0.299,0.301,0.314,0.117,0.333,0.337,,34.2,4.2,37.6,68.3,28.2,25.6,263,103.4,40.099999999999994
"Peralta, David",444482,2023,422,0.274,0.4,0.29,0.309,0.312,0.126,0.328,0.352,,31.1,4.9,44.2,74.3,34.1,22.5,328,105.1,40.199999999999996
"Blackmon, Charlie",453568,2023,413,0.269,0.406,0.35,0.339,0.357,0.137,0.355,0.34,,39.0,4.9,31.5,65.8,28.5,19.6,308,102.53,37.3
"Maldonado, Martín",455117,2023,407,0.187,0.357,0.266,0.267,0.255,0.169,0.368,0.37,,32.8,8.5,40.0,65.5,32.8,34.3,235,102.64,32.7
"Solano, Donovan",456781,2023,450,0.284,0.429,0.338,0.351,0.371,0.145,0.385,0.406,,43.1,6.1,43.7,64.9,29.9,25.4,295,103.98,35.00000000000001
"McCutchen, Andrew",457705,2023,473,0.257,0.409,0.345,0.353,0.382,0.152,0.369,0.382,,33.7,6.8,44.6,64.4,18.6,27.4,294,104.0,45.800000000000004
"Turner, Justin",457759,2023,626,0.26,0.444,0.346,0.336,0.331,0.184,0.381,0.367,,36.8,5.7,39.0,63.5,25.7,17.5,454,102.17,37.8
"Andrus, Elvis",462101,2023,406,0.231,0.313,0.29,0.267,0.286,0.082,0.32,0.29,,28.1,2.6,31.0,61.4,28.0,20.1,306,102.61,33.4
"Santana, Carlos",467793,2023,619,0.24,0.378,0.323,0.308,0.319,0.138,0.344,0.323,,31.3,6.7,36.4,68.2,24.0,22.1,450,104.63999999999999,44.2
"Belt, Brandon",474832,2023,404,0.212,0.437,0.369,0.336,0.335,0.225,0.528,0.462,,44.5,15.0,40.0,67.0,17.9,32.5,200,105.72,49.1
"Rojas, Miguel",500743,2023,423,0.252,0.338,0.271,0.288,0.307,0.086,0.27,0.291,,33.4,2.9,32.0,67.6,32.8,16.5,344,101.37,34.8
"Pham, Tommy",502054,2023,481,0.284,0.475,0.332,0.361,0.358,0.191,0.386,0.429,,34.4,10.7,49.1,60.6,20.6,23.6,326,107.55,40.0
"Martinez, J.D.",502110,2023,479,0.271,0.553,0.369,0.369,0.324,0.283,0.518,0.518,,41.1,17.1,55.1,75.4,32.1,34.4,292,107.29,43.300000000000004
"Goldschmidt, Paul",502671,2023,687,0.271,0.491,0.35,0.367,0.366,0.22,0.413,0.44,,35.6,12.0,50.8,61.8,26.5,27.5,435,106.22,35.3
"Altuve, Jose",514888,2023,410,0.245,0.419,0.393,0.331,0.335,0.174,0.437,0.35,,29.7,8.3,31.4,61.3,32.1,18.7,290,102.92000000000002,29.199999999999996
"Marte, Starling",516782,2023,341,0.261,0.402,0.278,0.312,0.314,0.141,0.316,0.363,,30.6,5.6,39.5,71.5,37.4,27.8,248,105.6,34.1
"Freeman, Freddie",518692,2023,730,0.323,0.565,0.411,0.408,0.403,0.243,0.463,0.461,,46.6,11.1,42.2,76.1,26.9,20.4,521,105.11999999999999,49.199999999999996
"Grandal, Yasmani",518735,2023,405,0.222,0.332,0.288,0.282,0.3,0.11,0.319,0.311,,32.3,4.7,34.4,62.1,27.4,24.9,279,102.62,34.7
"Heyward, Jason",518792,2023,377,0.25,0.405,0.348,0.319,0.324,0.155,0.383,0.344,,33.0,8.1,37.4,65.6,28.4,20.7,273,104.0,37.199999999999996
"LeMahieu, DJ",518934,2023,562,0.255,0.393,0.315,0.322,0.339,0.138,0.357,0.369,,31.6,5.9,43.0,54.4,23.1,19.7,374,104.17,31.299999999999997
"Moustakas, Mike",519058,2023,386,0.217,0.352,0.294,0.27,0.267,0.136,0.361,0.327,,28.3,5.7,37.9,71.5,33.0,27.3,265,103.9,38.5
"Rizzo, Anthony",519203,2023,421,0.246,0.393,0.312,0.319,0.33,0.148,0.357,0.367,,41.2,6.9,37.5,64.1,34.1,25.0,277,103.95,29.999999999999993
"Stanton, Giancarlo",519317,2023,415,0.219,0.462,0.297,0.325,0.302,0.242,0.38,0.429,,27.4,15.7,48.4,60.2,27.2,34.1,248,112.4,33.0
"Perez, Salvador",521692,2023,580,0.266,0.46,0.302,0.325,0.306,0.194,0.375,0.407,,38.0,8.8,44.0,77.5,47.0,30.2,411,106.61,30.5
"Flores, Wilmer",527038,2023,454,0.256,0.437,0.368,0.333,0.332,0.181,0.392,0.347,,36.2,7.8,32.5,62.7,28.2,15.8,345,101.87,34.5
"Ozuna, Marcell",542303,2023,592,0.28,0.577,0.381,0.393,0.353,0.298,0.462,0.481,,34.9,16.6,49.0,69.8,29.7,26.7,398,107.9,40.099999999999994
"Berti, Jon",542932,2023,424,0.281,0.411,0.325,0.324,0.333,0.13,0.37,0.37,,29.7,4.7,31.3,65.6,21.4,19.9,316,103.6,44.199999999999996
"Gomes, Yan",543228,2023,419,0.262,0.409,0.312,0.321,0.317,0.148,0.357,0.369,,37.0,7.8,36.4,69.1,37.0,24.2,308,102.96000000000001,32.099999999999994
"Grossman, Robbie",543257,2023,420,0.224,0.35,0.323,0.306,0.331,0.126,0.359,0.332,,32.3,6.8,37.3,60.2,15.7,20.1,263,101.74,44.5
"Semien, Marcus",543760,2023,753,0.262,0.427,0.354,0.333,0.337,0.165,0.377,0.349,,37.5,6.5,37.0,72.9,21.4,18.0,565,102.14,51.50000000000001
"Springer III, George",543807,2023,683,0.264,0.422,0.32,0.332,0.335,0.158,0.352,0.369,,32.2,7.7,39.9,73.3,23.1,22.3,491,105.5,50.199999999999996
"Vázquez, Christian",543877,2023,355,0.226,0.323,0.264,0.268,0.283,0.097,0.308,0.314,,36.0,3.2,32.8,65.3,33.0,26.2,247,100.38,32.3
"Grichuk, Randal",545341,2023,471,0.263,0.425,0.333,0.323,0.319,0.162,0.391,0.377,,35.0,7.1,45.3,67.0,34.9,26.7,340,106.01,32.1
"Trout, Mike",545361,2023,362,0.275,0.523,0.368,0.389,0.38,0.248,0.473,0.51,,38.3,16.0,51.9,69.8,19.7,29.3,206,108.5,50.099999999999994
"Harper, Bryce",547180,2023,546,0.29,0.53,0.384,0.399,0.403,0.24,0.447,0.47,,36.8,15.2,46.8,77.9,33.4,33.5,342,108.56,44.50000000000001
"Abreu, José",547989,2023,594,0.248,0.409,0.295,0.314,0.311,0.161,0.342,0.369,,32.5,8.7,41.6,65.2,36.3,26.4,416,105.72,28.900000000000006
"Díaz, Elias",553869,2023,526,0.245,0.376,0.314,0.296,0.297,0.131,0.377,0.351,,31.2,6.2,38.4,76.5,36.2,28.4,372,105.44,40.3
"Suárez, Eugenio",553993,2023,694,0.223,0.419,0.313,0.324,0.318,0.196,0.4,0.418,,37.7,13.2,43.0,65.7,23.6,32.8,395,105.06,42.1
"Arenado, Nolan",571448,2023,612,0.266,0.435,0.327,0.32,0.316,0.17,0.367,0.358,,33.0,7.3,38.1,65.5,34.1,20.2,467,104.2,31.4
"Farmer, Kyle",571657,2023,369,0.252,0.405,0.316,0.313,0.314,0.154,0.376,0.373,,36.1,6.7,32.9,62.7,32.2,23.2,252,101.8,30.5
"Hernández, Enrique",571771,2023,508,0.224,0.337,0.282,0.272,0.28,0.113,0.315,0.302,,31.0,4.5,33.7,66.0,27.9,23.6,374,102.42999999999999,38.1
"Muncy, Max",571970,2023,579,0.235,0.504,0.344,0.364,0.353,0.269,0.41,0.443,,33.7,14.6,46.6,57.2,23.5,29.6,335,105.44,33.7
"Taylor, Michael A.",572191,2023,388,0.222,0.433,0.308,0.306,0.281,0.211,0.434,0.432,,30.6,13.5,38.0,68.8,31.2,34.1,229,106.14,37.599999999999994
"Walker, Christian",572233,2023,661,0.251,0.46,0.351,0.339,0.329,0.21,0.397,0.38,,32.6,11.4,40.4,71.3,26.1,26.4,463,106.18,45.199999999999996
"Yastrzemski, Mike",573262,2023,381,0.232,0.419,0.333,0.325,0.329,0.187,0.404,0.391,,35.0,9.8,44.0,62.5,20.2,23.6,234,104.64,42.3
"Contreras, Willson",575929,2023,495,0.279,0.49,0.358,0.373,0.371,0.212,0.414,0.437,,34.1,12.2,46.9,68.9,31.1,29.0,320,109.61999999999999,37.800000000000004
"Canha, Mark",592192,2023,507,0.248,0.381,0.333,0.323,0.345,0.133,0.339,0.326,,30.9,4.7,36.7,58.9,23.9,18.3,362,103.8,35.0
"Castellanos, Nick",592206,2023,671,0.258,0.443,0.335,0.32,0.301,0.185,0.441,0.42,,36.5,10.3,43.2,74.6,41.0,35.4,447,104.95,33.599999999999994
"Drury, Brandon",592273,2023,523,0.252,0.44,0.339,0.318,0.299,0.188,0.435,0.405,,35.0,11.0,46.3,69.2,34.9,30.2,354,105.58,34.300000000000004
"Judge, Aaron",592450,2023,458,0.289,0.712,0.42,0.461,0.425,0.423,0.557,0.635,,37.1,27.5,64.2,66.9,19.5,36.6,240,111.32000000000001,47.400000000000006
"Machado, Manny",592518,2023,601,0.254,0.458,0.334,0.332,0.318,0.204,0.375,0.372,,30.2,10.5,45.9,69.5,29.3,23.9,440,107.36,40.2
"Pederson, Joc",592626,2023,425,0.264,0.481,0.331,0.366,0.374,0.217,0.361,0.415,,33.5,12.1,52.2,66.0,28.5,24.6,272,106.8,37.5
"Realmuto, J.T.",592663,2023,540,0.254,0.462,0.324,0.334,0.315,0.208,0.406,0.421,,36.2,11.2,43.3,70.7,30.6,26.2,356,106.1,40.1
"Renfroe, Hunter",592669,2023,548,0.225,0.366,0.308,0.289,0.291,0.141,0.362,0.334,,29.5,6.1,39.1,70.6,33.5,26.4,376,106.08,37.099999999999994
"Rosario, Eddie",592696,2023,516,0.254,0.436,0.322,0.317,0.304,0.181,0.397,0.389,,35.9,9.5,35.4,73.6,43.5,29.8,359,103.61999999999999,30.099999999999994
"Yelich, Christian",592885,2023,632,0.284,0.46,0.353,0.362,0.376,0.176,0.412,0.425,,30.4,9.2,50.1,68.1,24.8,26.8,411,107.61,43.3
"Merrifield, Whit",593160,2023,592,0.242,0.335,0.304,0.276,0.291,0.093,0.34,0.304,,37.2,2.4,24.3,69.8,32.5,19.5,452,98.99000000000001,37.3
"Bogaerts, Xander",593428,2023,665,0.255,0.401,0.343,0.318,0.325,0.146,0.374,0.341,,28.3,6.1,34.6,59.1,25.2,20.4,492,103.3,33.900000000000006
"Polanco, Jorge",593871,2023,343,0.25,0.481,0.34,0.348,0.332,0.23,0.415,0.427,,39.6,13.8,40.6,66.6,28.4,24.9,217,104.84,38.199999999999996
