"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Cabrera, Miguel",408234,2021,526,0.234,0.42,0.305,0.315,0.301,0.186,0.356,0.372,,32.8,8.3,49.0,69.1,30.2,25.8,363,105.4,38.89999999999999
"Molina, Yadier",425877,2021,473,0.255,0.406,0.29,0.306,0.3,0.151,0.321,0.343,,34.1,5.2,31.6,76.0,38.9,24.0,364,101.88000000000001,37.1
"Cruz Jr., Nelson",443558,2021,584,0.264,0.512,0.346,0.363,0.341,0.248,0.414,0.439,,31.8,13.6,52.5,73.8,31.0,30.7,396,110.1,42.8
"Peralta, David",444482,2021,538,0.243,0.345,0.314,0.293,0.313,0.103,0.343,0.315,,27.2,5.0,41.8,66.3,27.4,21.3,397,106.76,38.9
"Escobar, Alcides",444876,2021,349,0.271,0.362,0.325,0.309,0.325,0.091,0.356,0.335,,36.3,3.0,21.0,69.2,35.5,21.9,267,99.17999999999999,33.7
"Cabrera, Asdrúbal",452678,2021,352,0.214,0.331,0.297,0.286,0.302,0.117,0.334,0.318,,30.0,6.0,30.9,68.5,28.1,25.3,233,101.66000000000001,40.4
"Blackmon, Charlie",453568,2021,582,0.291,0.45,0.333,0.359,0.369,0.16,0.349,0.385,,32.6,7.0,38.5,67.9,26.2,20.2,426,104.75,41.7
"Maldonado, Martín",455117,2021,426,0.183,0.312,0.258,0.267,0.282,0.129,0.3,0.316,,30.8,5.7,33.2,61.9,23.3,28.9,247,100.92,38.599999999999994
"Solano, Donovan",456781,2021,344,0.275,0.432,0.324,0.335,0.34,0.158,0.354,0.369,,39.8,7.5,36.6,71.2,29.1,20.3,254,101.97,42.1
"McCutchen, Andrew",457705,2021,574,0.24,0.431,0.335,0.344,0.352,0.191,0.375,0.39,,33.6,9.0,39.5,63.7,19.1,25.9,357,103.44999999999999,44.6
"Upton, Justin",457708,2021,362,0.226,0.429,0.305,0.322,0.311,0.203,0.385,0.415,,30.4,11.7,41.6,66.6,24.5,31.4,214,105.3,42.099999999999994
"Turner, Justin",457759,2021,612,0.27,0.47,0.358,0.359,0.358,0.199,0.382,0.383,,36.5,7.9,42.4,66.9,22.7,17.7,441,103.0,44.2
"Posey III, Buster",457763,2021,454,0.281,0.469,0.379,0.361,0.37,0.188,0.433,0.406,,38.4,8.1,39.4,67.9,22.1,23.9,310,102.62,45.800000000000004
