"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Votto, Joey",458015,2021,533,0.274,0.592,0.391,0.406,0.383,0.318,0.475,0.498,,44.3,17.2,53.2,67.9,22.0,29.4,325,106.06,45.900000000000006
"Gardner, Brett",458731,2021,461,0.219,0.322,0.305,0.296,0.326,0.103,0.326,0.312,,29.2,3.4,33.2,56.1,17.5,18.4,298,102.68,38.6
"Andrus, Elvis",462101,2021,541,0.273,0.375,0.27,0.308,0.324,0.102,0.286,0.335,,34.0,2.1,34.8,65.9,31.9,19.6,423,102.6,34.00000000000001
"Santana, Carlos",467793,2021,659,0.244,0.421,0.294,0.335,0.345,0.177,0.285,0.342,,28.0,6.8,41.9,66.9,22.6,22.3,468,105.34,44.300000000000004
"Belt, Brandon",474832,2021,381,0.243,0.525,0.406,0.374,0.354,0.282,0.526,0.472,,35.9,17.0,44.8,78.6,19.1,28.3,223,105.48,59.49999999999999
"Lowrie, Jed",476704,2021,512,0.259,0.464,0.311,0.343,0.332,0.206,0.352,0.399,,36.5,9.3,45.9,70.8,20.9,24.2,353,103.9,49.9
"Brantley Jr., Michael",488726,2021,508,0.312,0.466,0.347,0.361,0.365,0.154,0.36,0.378,,38.8,5.8,42.9,65.9,24.1,10.9,417,103.24000000000001,41.800000000000004
"Gurriel Jr., Yuli",493329,2021,605,0.271,0.386,0.363,0.326,0.347,0.115,0.373,0.325,,31.0,3.4,42.0,62.2,26.1,13.9,474,104.2,36.1
"Rojas, Miguel",500743,2021,539,0.249,0.345,0.311,0.292,0.308,0.096,0.328,0.303,,32.4,2.8,32.9,66.4,26.3,19.3,423,101.58,40.10000000000001
"Escobar, Eduardo",500871,2021,599,0.249,0.453,0.334,0.328,0.31,0.205,0.391,0.382,,38.0,8.9,34.5,72.2,28.9,23.9,426,103.16,43.300000000000004
"Pham, Tommy",502054,2021,561,0.253,0.438,0.318,0.35,0.362,0.185,0.35,0.4,,35.6,10.0,47.6,60.0,16.0,23.6,351,106.0,44.0
"Martinez, J.D.",502110,2021,634,0.288,0.533,0.364,0.374,0.352,0.245,0.452,0.467,,41.2,12.5,49.4,76.5,33.7,29.2,425,106.4,42.8
"Goldschmidt, Paul",502671,2021,679,0.293,0.575,0.373,0.397,0.366,0.282,0.434,0.468,,36.9,13.6,50.6,64.4,25.2,24.9,472,107.3,39.2
"Altuve, Jose",514888,2021,678,0.262,0.421,0.357,0.332,0.339,0.159,0.376,0.344,,32.1,6.4,35.0,66.8,30.3,15.9,517,102.9,36.5
"Hernández, César",514917,2021,637,0.243,0.386,0.302,0.311,0.319,0.144,0.34,0.353,,32.6,6.8,33.2,68.3,26.1,22.0,438,103.16,42.199999999999996
"Segura, Jean",516416,2021,567,0.266,0.396,0.338,0.319,0.328,0.13,0.361,0.337,,31.1,5.9,37.4,66.7,30.1,17.3,441,105.1,36.6
"Castro, Starlin",516770,2021,346,0.272,0.412,0.309,0.324,0.328,0.139,0.346,0.367,,33.9,5.4,40.1,64.2,27.5,22.1,257,105.1,36.7
"Marte, Starling",516782,2021,526,0.277,0.438,0.364,0.347,0.354,0.161,0.413,0.389,,32.6,8.4,39.6,71.0,30.2,24.6,371,105.4,40.8
"Donaldson, Josh",518626,2021,543,0.269,0.542,0.353,0.388,0.372,0.273,0.393,0.447,,30.2,17.4,52.7,70.2,22.6,27.6,351,108.51,47.6
"Freeman, Freddie",518692,2021,695,0.32,0.583,0.379,0.416,0.41,0.263,0.411,0.463,,37.2,11.5,46.1,77.6,25.7,21.0,495,105.47,51.89999999999999
"Grandal, Yasmani",518735,2021,375,0.258,0.506,0.402,0.412,0.438,0.248,0.436,0.455,,32.5,13.3,53.2,51.1,16.1,25.0,203,107.78,35.0
"Heyward, Jason",518792,2021,353,0.234,0.367,0.275,0.294,0.299,0.134,0.3,0.327,,27.5,4.7,42.4,60.3,29.9,23.9,255,105.39,30.4
"LeMahieu, DJ",518934,2021,679,0.283,0.397,0.315,0.34,0.366,0.114,0.318,0.35,,33.3,3.7,43.5,62.0,20.4,14.4,508,103.86,41.6
"Rizzo, Anthony",519203,2021,576,0.261,0.434,0.339,0.347,0.356,0.173,0.346,0.357,,31.4,7.7,41.1,64.5,29.4,20.8,414,105.62,35.1
"Stanton, Giancarlo",519317,2021,579,0.262,0.498,0.37,0.363,0.346,0.237,0.473,0.463,,32.6,15.7,56.3,63.5,28.0,32.6,356,115.19000000000001,35.5
"Galvis, Freddy",520471,2021,394,0.222,0.35,0.305,0.28,0.286,0.128,0.346,0.311,,34.9,4.9,31.7,65.3,32.7,20.7,284,101.37,32.599999999999994
"Perez, Salvador",521692,2021,665,0.273,0.562,0.359,0.371,0.318,0.289,0.466,0.483,,34.1,16.3,56.2,78.6,44.7,33.7,454,107.9,33.89999999999999
"Flores, Wilmer",527038,2021,436,0.238,0.4,0.337,0.312,0.314,0.161,0.347,0.313,,32.7,6.0,35.4,68.4,25.6,16.4,336,102.3,42.800000000000004
"García, Avisaíl",541645,2021,515,0.278,0.514,0.346,0.366,0.346,0.236,0.422,0.452,,35.9,12.2,46.4,81.9,37.2,33.7,345,108.46000000000001,44.7
"Villar, Jonathan",542340,2021,505,0.235,0.388,0.32,0.307,0.31,0.153,0.396,0.377,,29.9,7.4,34.9,74.6,28.0,30.1,324,105.68,46.599999999999994
"Aguilar, Jesús",542583,2021,510,0.26,0.453,0.334,0.334,0.329,0.193,0.375,0.375,,34.7,8.5,41.0,63.8,27.4,25.9,363,104.68,36.4
"Crawford, Brandon",543063,2021,549,0.259,0.492,0.377,0.356,0.341,0.233,0.435,0.405,,35.8,11.5,43.3,77.6,27.9,29.3,383,103.7,49.699999999999996
"Cron, C.J.",543068,2021,547,0.261,0.481,0.383,0.364,0.36,0.22,0.447,0.418,,31.9,11.5,42.0,66.3,30.8,27.4,357,108.0,35.5
"Gomes, Yan",543228,2021,375,0.28,0.469,0.308,0.341,0.328,0.188,0.365,0.409,,39.3,8.8,38.2,68.7,32.7,20.6,272,103.28999999999999,36.0
"Grossman, Robbie",543257,2021,671,0.234,0.399,0.337,0.334,0.355,0.165,0.376,0.371,,39.5,7.6,34.1,63.4,15.7,21.6,410,101.91000000000001,47.7
"Harrison, Josh",543281,2021,558,0.278,0.42,0.325,0.333,0.34,0.142,0.338,0.349,,39.5,4.4,32.6,75.1,35.5,18.8,433,101.1,39.599999999999994
"Hosmer, Eric",543333,2021,565,0.268,0.406,0.319,0.326,0.337,0.137,0.35,0.359,,26.6,5.8,47.0,67.0,31.8,22.9,413,106.71000000000001,35.2
"McCann, James",543510,2021,412,0.219,0.339,0.281,0.28,0.286,0.119,0.353,0.35,,32.3,6.1,40.7,71.3,32.3,27.0,263,103.4,39.0
"Miller, Brad",543543,2021,377,0.247,0.46,0.331,0.345,0.339,0.213,0.428,0.451,,31.1,12.3,47.9,67.3,24.3,30.9,219,106.84,43.0
"Semien, Marcus",543760,2021,724,0.249,0.459,0.368,0.336,0.32,0.211,0.429,0.385,,35.2,9.8,41.3,69.7,21.3,21.5,509,103.0,48.400000000000006
"Springer III, George",543807,2021,342,0.248,0.507,0.381,0.361,0.339,0.26,0.461,0.43,,37.1,15.4,41.6,69.8,24.0,27.0,221,107.7,45.8
"Vázquez, Christian",543877,2021,498,0.235,0.337,0.289,0.276,0.287,0.102,0.316,0.298,,33.0,2.6,31.1,64.9,29.8,17.6,379,101.18,35.10000000000001
"Wong, Kolten",543939,2021,492,0.251,0.382,0.337,0.308,0.317,0.131,0.37,0.331,,35.3,5.5,34.8,67.2,28.0,18.9,365,102.6,39.2
"Gregorius, Didi",544369,2021,408,0.225,0.329,0.275,0.275,0.287,0.105,0.291,0.291,,32.1,2.3,26.6,78.0,31.7,24.6,308,101.4,46.3
"Garcia, Leury",544725,2021,474,0.24,0.336,0.312,0.291,0.312,0.096,0.353,0.322,,30.1,3.3,32.5,72.5,32.7,24.4,332,101.8,39.8
"Grichuk, Randal",545341,2021,545,0.234,0.402,0.3,0.297,0.278,0.167,0.356,0.352,,30.4,8.5,41.1,73.7,32.4,23.2,401,107.2,41.300000000000004
"Herrera, Odúbel",546318,2021,492,0.252,0.378,0.312,0.302,0.306,0.125,0.34,0.327,,32.5,4.7,40.1,69.6,32.4,20.0,379,106.43,37.199999999999996
"Harper, Bryce",547180,2021,599,0.301,0.609,0.431,0.43,0.423,0.308,0.525,0.523,,38.9,18.1,49.7,75.3,24.8,32.0,360,108.81,50.5
"Abreu, José",547989,2021,659,0.252,0.457,0.354,0.349,0.347,0.205,0.407,0.4,,31.2,10.2,49.3,66.7,32.2,27.7,433,107.2,34.5
"Díaz, Elias",553869,2021,371,0.247,0.419,0.33,0.318,0.312,0.172,0.36,0.345,,30.1,7.9,37.6,75.3,27.9,24.1,279,104.64,47.4
"Narváez, Omar",553882,2021,445,0.235,0.369,0.322,0.304,0.318,0.134,0.355,0.328,,40.3,5.1,25.6,74.6,31.1,23.6,313,100.02,43.49999999999999
"Suárez, Eugenio",553993,2021,574,0.215,0.455,0.306,0.326,0.302,0.24,0.387,0.42,,33.0,15.0,39.8,64.3,23.3,29.5,339,106.11999999999999,41.0
"Polanco, Gregory",570256,2021,382,0.232,0.411,0.275,0.316,0.31,0.179,0.332,0.397,,32.5,9.6,48.3,69.6,29.4,30.6,240,107.0,40.199999999999996
"Urshela, Gio",570482,2021,442,0.252,0.415,0.309,0.304,0.288,0.163,0.391,0.384,,36.2,8.0,42.0,72.4,36.0,25.0,312,104.09,36.400000000000006
"Schoop, Jonathan",570731,2021,674,0.258,0.404,0.324,0.311,0.305,0.147,0.378,0.361,,30.1,6.8,40.2,70.9,35.3,24.7,498,107.0,35.60000000000001
"Arenado, Nolan",571448,2021,653,0.248,0.42,0.336,0.311,0.308,0.172,0.368,0.336,,34.1,6.7,37.5,67.4,29.0,18.5,504,103.24,38.400000000000006
"Barnhart, Tucker",571466,2021,388,0.204,0.313,0.3,0.265,0.279,0.11,0.363,0.308,,37.1,4.0,31.1,73.4,28.8,26.3,251,99.41000000000001,44.60000000000001
"Farmer, Kyle",571657,2021,529,0.252,0.383,0.316,0.302,0.306,0.132,0.356,0.336,,36.0,4.3,31.9,65.4,35.4,20.0,392,102.0,30.000000000000007
"Haniger, Mitch",571745,2021,691,0.257,0.492,0.34,0.35,0.325,0.235,0.418,0.432,,33.6,12.6,45.1,65.0,29.2,29.8,459,105.42,35.8
"Hernández, Enrique",571771,2021,585,0.253,0.455,0.338,0.346,0.342,0.202,0.368,0.38,,36.5,8.4,43.2,66.8,24.9,23.5,405,104.08000000000001,41.9
"Muncy, Max",571970,2021,592,0.271,0.58,0.379,0.407,0.387,0.309,0.424,0.468,,34.9,16.1,46.6,60.3,15.7,23.4,378,106.75,44.599999999999994
"Myers, Wil",571976,2021,500,0.218,0.37,0.33,0.295,0.301,0.152,0.422,0.364,,31.5,7.5,38.0,65.7,27.7,31.6,305,104.0,38.0
"Naquin, Tyler",571980,2021,454,0.264,0.459,0.345,0.34,0.328,0.196,0.419,0.413,,31.5,10.4,41.6,77.5,37.9,23.7,308,106.8,39.6
"Pollock, AJ",572041,2021,422,0.282,0.499,0.375,0.359,0.343,0.217,0.439,0.418,,35.0,11.1,47.4,73.7,33.0,24.2,306,104.7,40.7
"Seager, Kyle",572122,2021,670,0.221,0.452,0.308,0.319,0.294,0.231,0.366,0.383,,35.7,12.3,40.1,72.3,29.2,29.7,446,105.0,43.099999999999994
"Taylor, Michael A.",572191,2021,528,0.246,0.39,0.286,0.3,0.299,0.144,0.36,0.382,,30.6,6.6,40.2,75.3,30.5,31.2,346,104.85,44.8
"Walker, Christian",572233,2021,445,0.249,0.386,0.304,0.311,0.32,0.136,0.358,0.369,,34.0,6.4,41.1,80.9,28.0,27.3,297,105.0,52.900000000000006
"Zunino, Mike",572287,2021,375,0.219,0.532,0.358,0.354,0.305,0.313,0.524,0.516,,31.7,24.3,47.0,66.8,27.9,38.8,202,109.58999999999999,38.9
"Dickerson, Corey",572816,2021,365,0.244,0.37,0.317,0.295,0.302,0.125,0.36,0.329,,29.0,3.0,35.7,75.0,35.2,24.3,269,104.82000000000001,39.8
"Yastrzemski, Mike",573262,2021,532,0.221,0.431,0.326,0.318,0.309,0.21,0.39,0.378,,33.1,10.3,39.3,67.9,23.0,24.2,341,103.1,44.900000000000006
"Contreras, Willson",575929,2021,483,0.24,0.448,0.337,0.346,0.344,0.209,0.42,0.436,,30.1,11.1,48.4,66.2,26.9,34.7,279,108.5,39.300000000000004
"Iglesias, Jose",578428,2021,511,0.27,0.366,0.304,0.297,0.308,0.096,0.334,0.326,,35.5,3.4,28.6,68.5,43.2,18.9,409,101.3,25.299999999999997
"Torreyes, Ronald",591720,2021,344,0.233,0.299,0.274,0.256,0.278,0.067,0.287,0.266,,30.4,0.4,14.1,72.3,32.1,14.2,283,96.53999999999999,40.199999999999996
"Bryant, Kris",592178,2021,586,0.26,0.449,0.356,0.346,0.349,0.189,0.423,0.407,,37.1,10.3,40.0,73.7,26.7,28.0,380,103.62,47.0
"Canha, Mark",592192,2021,625,0.231,0.378,0.333,0.332,0.358,0.147,0.344,0.343,,36.1,7.1,35.4,61.4,20.7,21.5,393,102.28,40.7
"Castellanos, Nick",592206,2021,585,0.293,0.535,0.391,0.374,0.35,0.241,0.473,0.45,,44.0,10.6,46.9,78.9,36.2,30.7,416,105.55,42.7
"Gamel, Ben",592325,2021,400,0.23,0.373,0.322,0.315,0.335,0.143,0.383,0.371,,41.5,7.9,36.5,65.7,23.5,27.2,241,103.4,42.2
"Judge, Aaron",592450,2021,633,0.308,0.594,0.387,0.418,0.394,0.286,0.483,0.532,,38.5,17.6,58.4,66.1,23.7,29.1,397,111.6,42.39999999999999
"Machado, Manny",592518,2021,640,0.291,0.526,0.35,0.376,0.363,0.235,0.385,0.421,,33.8,13.3,52.2,70.2,28.9,23.0,473,109.29,41.300000000000004
"Moran, Colin",592567,2021,359,0.245,0.391,0.318,0.315,0.323,0.146,0.375,0.37,,34.2,8.1,37.2,69.8,31.5,26.9,234,104.4,38.3
"Pederson, Joc",592626,2021,481,0.244,0.441,0.315,0.333,0.319,0.197,0.375,0.402,,31.2,10.1,47.6,66.6,32.4,26.3,317,106.7,34.199999999999996
"Realmuto, J.T.",592663,2021,537,0.253,0.416,0.336,0.329,0.335,0.164,0.404,0.393,,31.2,8.6,44.7,69.9,30.7,27.0,349,106.2,39.2
"Renfroe, Hunter",592669,2021,572,0.26,0.506,0.344,0.354,0.32,0.245,0.417,0.433,,32.7,14.4,44.3,66.7,31.8,25.9,397,108.36,34.900000000000006
"Rosario, Eddie",592696,2021,412,0.255,0.427,0.316,0.319,0.305,0.172,0.344,0.349,,34.3,5.9,35.8,75.8,35.2,19.2,324,101.7,40.599999999999994
"Simmons, Andrelton",592743,2021,451,0.23,0.281,0.252,0.261,0.29,0.05,0.252,0.264,,29.1,0.6,21.8,62.2,28.5,16.6,354,98.77,33.7
"Yelich, Christian",592885,2021,475,0.254,0.392,0.325,0.337,0.368,0.138,0.365,0.385,,29.4,7.6,48.8,67.1,18.0,24.9,289,106.82,49.099999999999994
"Merrifield, Whit",593160,2021,720,0.263,0.383,0.306,0.301,0.306,0.12,0.332,0.325,,40.0,3.5,28.8,71.3,29.0,18.3,573,100.18,42.3
"Bogaerts, Xander",593428,2021,603,0.28,0.468,0.368,0.359,0.359,0.189,0.416,0.404,,36.4,9.7,43.0,62.4,31.0,22.0,423,105.5,31.4
"Polanco, Jorge",593871,2021,644,0.267,0.488,0.349,0.348,0.323,0.22,0.4,0.398,,36.1,10.1,37.4,70.5,29.7,19.7,476,104.56,40.8
"Sanó, Miguel",593934,2021,532,0.216,0.439,0.332,0.322,0.306,0.223,0.468,0.451,,32.3,17.7,55.9,66.1,26.5,38.2,288,110.8,39.599999999999994
"Duvall, Adam",594807,2021,555,0.227,0.499,0.324,0.33,0.281,0.271,0.448,0.457,,33.3,16.1,43.9,67.0,34.0,29.3,342,105.8,33.0
"Gosselin, Phil",594838,2021,373,0.24,0.354,0.297,0.288,0.295,0.114,0.347,0.335,,30.2,3.4,35.1,61.1,31.4,21.2,265,102.9,29.700000000000003
"Kiermaier, Kevin",595281,2021,390,0.232,0.32,0.31,0.283,0.308,0.088,0.377,0.335,,29.6,4.0,36.4,74.6,30.3,31.6,253,102.57,44.3
"Profar, Jurickson",595777,2021,412,0.238,0.323,0.293,0.302,0.339,0.085,0.284,0.296,,30.6,2.7,30.2,65.3,22.5,17.9,291,101.5,42.8
"Báez, Javier",595879,2021,547,0.237,0.45,0.344,0.321,0.295,0.213,0.498,0.46,,32.7,13.4,45.2,75.8,44.6,40.6,321,107.11,31.199999999999996
"Lindor, Francisco",596019,2021,524,0.254,0.45,0.317,0.344,0.345,0.197,0.339,0.378,,35.6,8.2,44.1,70.8,26.2,23.2,365,104.27,44.599999999999994
"Odor, Rougned",596059,2021,361,0.202,0.374,0.289,0.29,0.287,0.172,0.353,0.356,,29.6,9.0,38.0,74.4,29.0,29.1,223,104.6,45.400000000000006
"Story, Trevor",596115,2021,595,0.245,0.45,0.341,0.335,0.325,0.205,0.405,0.397,,34.2,9.9,42.6,73.6,30.5,27.4,392,105.68,43.099999999999994
"Sánchez, Gary",596142,2021,440,0.228,0.452,0.314,0.336,0.328,0.224,0.381,0.417,,34.4,13.7,42.0,64.5,25.3,29.4,262,106.89,39.2
"Kepler, Max",596146,2021,490,0.255,0.452,0.309,0.347,0.347,0.197,0.332,0.388,,35.3,10.8,42.5,69.9,20.4,23.0,334,105.8,49.50000000000001
"Franco, Maikel",596748,2021,403,0.224,0.344,0.263,0.27,0.269,0.119,0.287,0.296,,28.1,5.1,33.9,65.7,35.5,24.1,313,105.38000000000001,30.200000000000003
"Bradley Jr., Jackie",598265,2021,428,0.194,0.29,0.224,0.253,0.266,0.096,0.269,0.318,,27.9,5.0,40.3,67.5,27.5,34.3,258,102.8,40.0
"Severino, Pedro",600474,2021,419,0.249,0.401,0.299,0.311,0.312,0.151,0.369,0.387,,33.5,7.6,38.5,68.1,28.3,29.5,275,106.46000000000001,39.8
"Candelario, Jeimer",600869,2021,626,0.278,0.462,0.344,0.356,0.358,0.184,0.398,0.416,,38.6,9.0,39.1,68.6,29.2,23.5,422,105.29,39.39999999999999
"Ahmed, Nick",605113,2021,473,0.208,0.29,0.269,0.249,0.268,0.083,0.311,0.283,,27.9,2.4,27.9,69.8,31.5,26.9,333,102.1,38.3
"Bell, Josh",605137,2021,568,0.277,0.488,0.352,0.367,0.363,0.21,0.385,0.406,,28.5,8.8,52.0,74.1,23.8,24.1,400,107.72,50.3
"Betts, Mookie",605141,2021,550,0.263,0.445,0.365,0.357,0.369,0.182,0.381,0.369,,34.0,7.8,41.0,63.9,18.1,16.8,385,103.28,45.8
"Caratini, Victor",605170,2021,356,0.228,0.355,0.273,0.29,0.313,0.127,0.313,0.338,,31.5,6.8,44.3,64.5,26.2,25.5,235,106.59,38.3
"Zimmer, Bradley",605548,2021,348,0.224,0.371,0.3,0.317,0.326,0.147,0.402,0.434,,30.4,9.4,42.5,67.4,23.8,36.4,181,109.3,43.60000000000001
"Tapia, Raimel",606132,2021,533,0.241,0.308,0.305,0.273,0.298,0.067,0.319,0.279,,19.9,2.1,31.5,69.0,33.0,14.7,422,101.7,36.0
"Hernández, Teoscar",606192,2021,595,0.284,0.537,0.369,0.37,0.336,0.252,0.47,0.472,,37.4,13.9,49.0,75.8,30.7,31.8,404,107.81,45.099999999999994
"Marte, Ketel",606466,2021,374,0.307,0.495,0.385,0.372,0.37,0.188,0.434,0.418,,33.5,8.9,48.4,67.4,24.5,17.3,281,107.3,42.900000000000006
"Haase, Eric",606992,2021,381,0.234,0.461,0.316,0.322,0.291,0.227,0.432,0.441,,35.9,13.7,47.9,68.8,29.0,34.7,234,107.81,39.8
"Nimmo, Brandon",607043,2021,386,0.267,0.386,0.369,0.345,0.38,0.119,0.41,0.373,,34.3,4.0,41.1,67.0,15.0,22.6,248,103.5,52.0
"Turner, Trea",607208,2021,646,0.304,0.485,0.386,0.364,0.355,0.181,0.445,0.416,,34.6,7.4,46.2,72.4,26.4,23.0,489,105.72000000000001,46.00000000000001
"Pillar, Kevin",607680,2021,347,0.224,0.372,0.297,0.281,0.271,0.148,0.36,0.338,,34.7,7.3,31.8,71.3,36.0,24.5,245,103.02,35.3
"Stallings, Jacob",607732,2021,427,0.245,0.369,0.312,0.314,0.335,0.125,0.336,0.339,,37.1,4.5,36.4,65.0,23.4,23.4,291,101.6,41.6
"Ramírez, José",608070,2021,636,0.283,0.508,0.372,0.376,0.373,0.226,0.393,0.399,,33.4,11.1,42.4,64.5,24.1,14.9,470,105.84,40.4
"Bregman, Alex",608324,2021,400,0.258,0.417,0.336,0.332,0.346,0.159,0.342,0.337,,33.8,6.4,38.1,64.8,17.2,13.5,299,102.3,47.599999999999994
"Gallo, Joey",608336,2021,616,0.199,0.46,0.348,0.352,0.352,0.261,0.473,0.481,,29.4,18.5,45.8,64.4,19.0,38.8,286,109.14,45.400000000000006
"Kelly, Carson",608348,2021,359,0.254,0.428,0.328,0.346,0.358,0.174,0.355,0.381,,37.9,8.5,34.0,62.5,22.3,25.0,235,102.96000000000001,40.2
"Seager, Corey",608369,2021,409,0.295,0.53,0.389,0.392,0.386,0.235,0.424,0.428,,36.6,12.4,49.3,81.5,26.9,28.1,290,106.42000000000002,54.6
"Winker, Jesse",608385,2021,485,0.295,0.524,0.403,0.39,0.385,0.229,0.439,0.42,,38.2,11.2,47.1,68.4,24.3,20.2,348,105.33,44.10000000000001
"Reyes, Franmil",614177,2021,466,0.246,0.512,0.354,0.353,0.319,0.266,0.496,0.494,,31.3,16.9,48.5,68.1,25.8,33.7,272,109.7,42.3
"Torrens, Luis",620443,2021,378,0.245,0.428,0.311,0.318,0.304,0.183,0.392,0.402,,34.4,10.4,43.2,63.3,25.8,27.4,250,104.12,37.5
"Swanson, Dansby",621020,2021,653,0.251,0.455,0.322,0.332,0.316,0.205,0.402,0.417,,36.8,11.4,42.7,72.4,24.1,30.4,429,104.32,48.300000000000004
"Newman, Kevin",621028,2021,554,0.255,0.33,0.249,0.275,0.293,0.076,0.247,0.277,,32.0,1.6,26.0,63.3,26.5,12.1,485,100.56,36.8
"Taylor, Chris",621035,2021,582,0.237,0.422,0.338,0.329,0.33,0.185,0.431,0.415,,38.1,10.2,38.1,69.3,20.8,32.8,344,104.47,48.5
"Correa, Carlos",621043,2021,640,0.296,0.482,0.364,0.373,0.38,0.186,0.401,0.415,,33.5,9.4,42.7,62.0,24.1,20.9,445,107.16,37.9
"Wisdom, Patrick",621550,2021,375,0.216,0.46,0.346,0.321,0.291,0.244,0.567,0.516,,39.5,16.2,51.9,74.8,29.3,41.3,185,107.92,45.5
"Wendle, Joey",621563,2021,501,0.238,0.356,0.317,0.286,0.295,0.118,0.382,0.338,,30.6,4.6,34.6,64.4,32.8,25.0,350,102.53,31.60000000000001
"Olson, Matt",621566,2021,673,0.264,0.507,0.379,0.378,0.374,0.243,0.413,0.413,,32.4,12.7,48.8,72.2,23.7,23.1,463,107.98,48.5
"Margot, Manuel",622534,2021,464,0.268,0.397,0.301,0.318,0.328,0.129,0.321,0.342,,31.5,5.1,40.2,72.2,29.9,20.5,356,104.56,42.300000000000004
"Ramírez, Harold",623912,2021,361,0.262,0.395,0.302,0.302,0.3,0.133,0.336,0.336,,24.5,6.3,47.2,69.9,41.6,23.9,286,108.2,28.300000000000004
"Santander, Anthony",623993,2021,438,0.269,0.446,0.307,0.328,0.314,0.177,0.373,0.404,,34.5,8.4,43.5,72.1,32.9,25.1,310,106.33999999999999,39.199999999999996
"Alonso, Pete",624413,2021,637,0.271,0.542,0.363,0.377,0.352,0.271,0.417,0.438,,34.5,14.8,47.3,70.9,30.8,24.9,438,109.94000000000001,40.10000000000001
"Conforto, Michael",624424,2021,479,0.253,0.436,0.322,0.35,0.364,0.183,0.348,0.393,,32.9,9.2,39.5,68.1,23.0,23.3,304,103.96000000000001,45.099999999999994
"Frazier, Adam",624428,2021,639,0.288,0.376,0.341,0.324,0.353,0.088,0.347,0.327,,38.9,1.0,25.2,67.9,26.1,12.4,512,98.0,41.800000000000004
"Soler, Jorge",624585,2021,602,0.25,0.494,0.323,0.359,0.341,0.244,0.373,0.429,,30.9,12.7,47.0,70.1,23.0,29.2,379,109.13,47.099999999999994
"Heredia, Guillermo",628338,2021,347,0.22,0.336,0.292,0.29,0.312,0.116,0.329,0.325,,35.6,4.0,34.7,76.7,25.0,27.5,225,102.66,51.7
"Cronenworth, Jake",630105,2021,643,0.276,0.443,0.341,0.344,0.351,0.166,0.361,0.365,,35.8,7.2,35.0,62.5,23.5,13.7,483,103.5,39.0
"Meadows, Austin",640457,2021,591,0.24,0.425,0.327,0.326,0.325,0.184,0.37,0.369,,36.1,8.7,37.9,70.9,25.1,24.4,404,104.58,45.800000000000004
