"last_name, first_name","player_id","year","pa","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","avg_swing_length","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","whiff_percent","batted_ball"
"Pujols, Albert","405395","2020","163",".248",".401",".282",".299",".293",".154",".308",".330",,30.5,5.5,34.4,64.3,35.7,22.2,"128"
"Bregman, Alex","608324","2020","180",".249",".389",".345",".332",".358",".140",".345",".327",,35.9,3.9,33.6,56.3,18,14.7,"128"
"Hernández, Teoscar","606192","2020","207",".296",".614",".384",".401",".346",".318",".536",".564",,40.6,18,53.1,62.9,30.9,34.9,"128"
"Grossman, Robbie","543257","2020","192",".240",".399",".351",".328",".344",".159",".388",".355",,33.6,5.5,37.5,65.9,21.7,18.4,"128"
"Reynolds, Bryan","668804","2020","208",".228",".403",".278",".314",".310",".175",".329",".387",,35.2,10.2,38.3,70,27.7,27.7,"128"
"Nola, Austin","543592","2020","184",".280",".467",".352",".361",".362",".187",".391",".403",,40.3,7.8,43.4,62.5,16.3,20.1,"129"
"Urshela, Gio","570482","2020","174",".314",".491",".365",".379",".385",".178",".386",".405",,38.5,6.9,40.8,70.8,27.7,20.3,"130"
"Vázquez, Christian","543877","2020","189",".222",".358",".346",".285",".289",".135",".416",".329",,33.1,4.6,40,65,31.3,22.9,"130"
"Taylor, Chris","621035","2020","214",".272",".488",".364",".371",".368",".216",".445",".458",,35.1,11.5,45,73.7,17.3,32.5,"131"
"Núñez, Renato","600524","2020","216",".227",".431",".347",".315",".298",".204",".461",".408",,37.9,12.1,36.4,67,39.8,30.1,"132"
"Olson, Matt","621566","2020","245",".224",".453",".316",".340",".336",".230",".403",".450",,30.1,12.8,45.9,67.6,20,34.8,"133"
"Villar, Jonathan","542340","2020","207",".216",".287",".266",".261",".288",".071",".315",".308",,18.7,1.5,35.8,74.7,33.6,32,"134"
"Contreras, Willson","575929","2020","225",".249",".441",".336",".353",".361",".192",".387",".416",,35.8,10.4,47.8,67.8,31.3,33.8,"134"
"Wendle, Joey","621563","2020","184",".256",".375",".335",".304",".316",".119",".383",".342",,32.8,3.7,32.1,64.6,36.5,18.7,"134"
"Hiura, Keston","669374","2020","246",".210",".435",".304",".318",".299",".225",".420",".447",,34.3,14.2,39.6,71.4,30.4,42.7,"134"
"Davis, J.D.","605204","2020","229",".252",".424",".339",".355",".376",".172",".380",".407",,29.6,8.9,45.2,66.8,23.2,29.3,"135"
"Anderson, Brian","605119","2020","229",".227",".426",".348",".324",".321",".199",".446",".406",,34.8,9.6,39.3,73.4,29.6,34.4,"135"
"Candelario, Jeimer","600869","2020","206",".277",".471",".373",".356",".351",".194",".457",".432",,37.5,10.3,47.1,68,26.1,27.9,"136"
"Kepler, Max","596146","2020","196",".258",".425",".328",".340",".349",".167",".349",".366",,30.9,5.1,38.2,66.6,24.2,21.2,"136"
"Lewis, Kyle","641786","2020","242",".239",".433",".349",".344",".347",".194",".444",".436",,37.2,11.7,35,64.1,24.6,36.3,"137"
"Yastrzemski, Mike","573262","2020","225",".251",".488",".407",".364",".360",".238",".503",".434",,35,10.9,42.3,58.6,19.7,24.7,"137"
"Lowe, Brandon","664040","2020","224",".261",".550",".385",".384",".356",".289",".480",".479",,37.2,17.5,43.1,72.6,21.1,35.7,"137"
"Newman, Kevin","621028","2020","172",".253",".337",".251",".290",".310",".084",".246",".296",,32.6,0.7,28.3,60.2,28,14.6,"138"
"Gonzalez, Marwin","503556","2020","199",".240",".401",".269",".314",".315",".162",".287",".351",,31.9,5.1,38.4,61.4,26.8,23.5,"138"
"Ruiz, Rio","547004","2020","204",".212",".356",".303",".277",".277",".144",".357",".320",,27.7,8.5,39,77.4,28.3,27.3,"141"
"Arcia, Orlando","606115","2020","189",".281",".428",".317",".338",".339",".147",".348",".376",,37.3,5.6,38.7,67.6,28.1,23.1,"142"
"Myers, Wil","571976","2020","218",".285",".589",".400",".396",".351",".304",".515",".511",,40.8,14.8,45.8,62.6,25.1,25.9,"142"
"Brantley Jr., Michael","488726","2020","187",".260",".413",".362",".325",".327",".153",".393",".344",,34.5,4.9,37.3,59.3,20,16.3,"142"
"Votto, Joey","458015","2020","223",".253",".478",".347",".369",".377",".225",".363",".397",,36.4,9.1,35.7,57.1,17.3,22.5,"143"
"Cronenworth, Jake","630105","2020","192",".317",".535",".356",".393",".383",".218",".385",".435",,37.8,10.5,42.7,58.1,19,16.7,"143"
"Calhoun, Kole","594777","2020","228",".263",".517",".362",".379",".370",".254",".408",".436",,36.1,11.8,38.2,75.9,21.6,32.7,"144"
"Conforto, Michael","624424","2020","233",".281",".478",".401",".374",".377",".197",".493",".451",,38.6,11,36.6,65.1,25.2,26,"145"
"Trout, Mike","545361","2020","241",".291",".612",".407",".428",".405",".321",".494",".529",,36.1,15,55.1,57.3,14.6,19.5,"147"
"Canó, Robinson","429664","2020","182",".297",".481",".376",".353",".338",".184",".418",".388",,31.8,7.4,46.6,76.3,42,19.8,"148"
"Harper, Bryce","547180","2020","244",".308",".658",".400",".454",".451",".350",".428",".514",,33.3,17.3,50.7,73.4,28.3,28.6,"150"
"Tapia, Raimel","606132","2020","206",".244",".325",".338",".285",".305",".080",".385",".313",,28.7,2,30,71.3,30.7,18.7,"150"
"Solano, Donovan","456781","2020","203",".278",".417",".357",".320",".320",".139",".421",".372",,43.4,4.6,34.9,68.5,36.2,22,"152"
"Grisham, Trent","663757","2020","252",".266",".482",".349",".368",".366",".216",".418",".449",,37.9,11.1,41.8,58,18,24.2,"153"
"Correa, Carlos","621043","2020","221",".254",".402",".308",".315",".319",".148",".362",".373",,26.1,5.9,42.1,65.7,31.8,24.4,"153"
"Martinez, J.D.","502110","2020","237",".229",".443",".290",".318",".306",".214",".345",".387",,39.6,11,41.6,73.9,30.8,28.1,"154"
"Cabrera, Asdrúbal","452678","2020","213",".243",".429",".319",".317",".307",".186",".355",".353",,30.5,6.5,38.3,66.8,28.4,20.5,"154"
"Wong, Kolten","543939","2020","208",".235",".306",".305",".286",".324",".070",".304",".280",,31.2,0.6,26.6,65.3,24.4,15.8,"154"
"Cabrera, Miguel","408234","2020","231",".288",".520",".323",".379",".366",".231",".370",".454",,36.8,9.7,49.7,70.5,29.9,31.6,"155"
"Profar, Jurickson","595777","2020","202",".282",".411",".335",".338",".350",".129",".350",".354",,35.5,3.2,27.7,66.3,28.8,20.1,"155"
"Verdugo, Alex","657077","2020","221",".238",".369",".362",".299",".305",".132",".427",".338",,31.2,6.4,34.4,57.8,27.8,18.7,"157"
"Longoria, Evan","446334","2020","209",".282",".524",".308",".364",".329",".243",".351",".427",,29.9,11.5,45.2,62.2,28,21,"157"
"Jiménez, Eloy","650391","2020","226",".278",".540",".373",".364",".317",".262",".481",".469",,32.9,16.5,55.7,75.6,37.8,29.2,"158"
"Edman, Tommy","669242","2020","227",".266",".367",".302",".315",".334",".102",".340",".359",,31,3.8,33.5,61,25.6,19,"158"
"Anderson, Tim","641313","2020","221",".286",".501",".376",".352",".324",".215",".470",".437",,33.3,10.1,35.8,73,39.3,30.9,"159"
"Peralta, David","444482","2020","218",".260",".375",".333",".299",".304",".115",".397",".351",,29.4,5,36.3,65.5,26.6,21.1,"160"
"Semien, Marcus","543760","2020","236",".209",".352",".299",".287",".293",".143",".329",".313",,32.9,5,28.6,70.7,18.7,23.3,"161"
"Marte, Ketel","606466","2020","195",".265",".381",".316",".306",".309",".116",".330",".319",,28.8,3.7,40.5,61.8,27.9,14.1,"163"
"Santana, Carlos","467793","2020","255",".251",".448",".316",".372",".393",".196",".289",".375",,32.3,6.7,36.6,61.4,16.6,20.6,"164"
"Tucker, Kyle","663656","2020","228",".261",".449",".349",".327",".318",".188",".412",".383",,34.1,9.1,44.5,77.3,26.3,22.5,"164"
"Devers, Rafael","646240","2020","248",".256",".460",".337",".328",".304",".204",".438",".425",,33.3,12.1,43.6,74.1,38.6,31.7,"165"
"Arenado, Nolan","571448","2020","201",".235",".392",".308",".288",".289",".157",".317",".293",,27.1,5.4,33.7,66.2,32.4,17.9,"166"
"Swanson, Dansby","621020","2020","264",".267",".474",".348",".354",".341",".206",".441",".450",,40.7,11.4,40.7,70.9,24,31.6,"167"
"Pillar, Kevin","607680","2020","223",".272",".435",".341",".328",".322",".163",".394",".379",,34.7,5.4,36.5,67.2,36.8,25.3,"167"
"Rizzo, Anthony","519203","2020","243",".266",".413",".326",".355",".383",".147",".323",".364",,34.7,7.8,34.7,56,31.7,19.3,"167"
"Grichuk, Randal","545341","2020","231",".268",".468",".334",".333",".312",".199",".405",".405",,27.2,11.2,39.6,71.3,33.9,23.1,"169"
"Ozuna, Marcell","542303","2020","267",".310",".632",".444",".434",".407",".323",".548",".533",,39.1,15.4,54.4,68.8,28.2,31.4,"169"
"McCutchen, Andrew","457705","2020","241",".276",".484",".327",".358",".346",".208",".369",".414",,36.5,8.2,41.2,58.8,21.4,22,"170"
"Bellinger, Cody","641355","2020","243",".284",".494",".337",".374",".374",".210",".361",".413",,29.2,9.4,41.5,68.2,27.9,23.3,"171"
"Walker, Christian","572233","2020","243",".266",".454",".339",".339",".331",".188",".391",".392",,34.5,6.4,48.5,74.3,29.9,27.1,"171"
"LeMahieu, DJ","518934","2020","216",".312",".460",".429",".366",".376",".147",".449",".372",,29.7,2.9,45.7,64,24,11.2,"175"
"Frazier, Adam","624428","2020","230",".251",".378",".291",".309",".317",".127",".302",".325",,34.9,4,25.1,68.9,24.7,16.6,"175"
"Seager, Kyle","572122","2020","248",".252",".472",".338",".365",".371",".220",".326",".364",,30.7,10.2,39.8,62.5,20.6,20.4,"176"
"Polanco, Jorge","593871","2020","226",".263",".381",".289",".304",".308",".118",".314",".333",,39,2.8,33.3,64.4,23.2,16.8,"177"
"Freeman, Freddie","518692","2020","262",".343",".663",".456",".466",".463",".320",".495",".509",,49.2,14.7,54.2,77.7,25.8,20.1,"177"
"Seager, Corey","608369","2020","232",".331",".656",".394",".434",".381",".325",".445",".498",,38.4,15.8,55.9,82.2,30.3,25.8,"177"
"Ramírez, José","608070","2020","254",".264",".507",".415",".373",".362",".243",".460",".401",,36.7,10.2,35.6,63.2,22.7,16.6,"177"
"Hernández, César","514917","2020","261",".273",".396",".335",".330",".346",".123",".390",".382",,37.3,4,37.3,65,22.9,19.8,"177"
"Guerrero Jr., Vladimir","665489","2020","243",".268",".446",".338",".338",".334",".178",".366",".367",,29.5,8.7,50.8,74,24.6,24.7,"183"
"La Stella, Tommy","600303","2020","228",".275",".423",".355",".348",".366",".148",".324",".315",,32.1,4.8,28.3,54.2,21.3,11.2,"187"
"Gregorius, Didi","544369","2020","237",".263",".396",".348",".311",".322",".132",".369",".324",,35.3,4.2,27.9,74,33.2,19,"190"
"Machado, Manny","592518","2020","254",".300",".540",".391",".385",".372",".240",".432",".423",,34.6,11,43.5,72,23.9,21.7,"191"
"Alberto, Hanser","593643","2020","231",".247",".319",".301",".261",".272",".073",".332",".284",,32.6,1,20.7,75.7,52.3,16.9,"193"
"Stewart, DJ","621466","2020","112",".192",".392",".353",".336",".354",".199",".468",".431",,28.8,19.2,46.2,75.6,24.2,35.8,"52"
"Donaldson, Josh","518626","2020","102",".213",".418",".362",".347",".370",".205",".400",".375",,24.1,6.9,53.4,63.9,21.3,34.5,"58"
"Pérez, Roberto","547379","2020","110",".198",".281",".228",".267",".293",".082",".270",".342",,23.7,3.4,32.2,53.8,16.4,29.4,"59"
"Hilliard, Sam","656541","2020","114",".193",".345",".301",".266",".257",".152",".445",".386",,20.6,9.5,44.4,66.1,29.3,38.7,"63"
"Ruf, Darin","573131","2020","100",".253",".458",".379",".353",".351",".205",".450",".411",,34.4,9.4,43.8,58.6,21.4,26.4,"64"
"Slater, Austin","596103","2020","104",".303",".540",".395",".416",".425",".237",".445",".480",,45.3,14.1,45.3,63,20.5,25.3,"64"
"Jones, JaCoby","592444","2020","108",".240",".425",".358",".321",".310",".185",".494",".432",,35.9,10.9,45.3,58.1,26.3,33.3,"64"
"Gosselin, Phil","594838","2020","102",".238",".359",".313",".295",".313",".121",".390",".362",,36.9,6.2,29.2,60,24.6,25.3,"65"
"Rengifo, Luis","650859","2020","106",".184",".252",".227",".259",".295",".068",".216",".268",,21.2,1.5,33.3,61.9,24.2,24.1,"66"
"Adrianza, Ehire","501303","2020","101",".204",".312",".257",".279",".299",".108",".265",".299",,33.3,3,24.2,69.2,24.4,18,"66"
"Kieboom, Carter","666198","2020","122",".180",".220",".275",".274",".330",".040",".269",".267",,31.3,0,20.9,67.3,25.4,25.5,"67"
"Maybin, Cameron","457727","2020","101",".241",".376",".302",".298",".301",".136",".366",".362",,26.5,5.9,35.3,69.2,21,31.3,"68"
"Wade, Tyler","642180","2020","105",".242",".326",".271",".310",".349",".085",".263",".324",,30.9,1.5,27.9,62.9,22.7,18.9,"68"
"McCann, James","543510","2020","111",".256",".455",".378",".343",".336",".198",".485",".429",,40.6,8.7,47.8,67.7,27.3,29.2,"69"
"Cave, Jake","595909","2020","123",".213",".332",".293",".272",".277",".119",".418",".382",,27.5,4.3,39.1,66.1,31.3,39.6,"69"
"Quinn, Roman","596451","2020","116",".210",".282",".254",".245",".259",".072",".351",".338",,22.9,2.9,25.7,72.1,27.1,30.1,"70"
"Fuentes, Joshua","658069","2020","103",".254",".341",".323",".270",".273",".087",".439",".362",,39.4,1.4,23.9,73.2,38.6,24.3,"71"
"Wolters, Tony","547172","2020","109",".265",".346",".249",".294",".313",".081",".310",".379",,40.3,0,20.8,59,27.2,27.4,"72"
"Bruce, Jay","457803","2020","103",".237",".472",".297",".322",".289",".235",".363",".397",,31.9,9.7,38.9,83.4,27.7,28.8,"72"
"Holt, Brock","571788","2020","106",".220",".286",".253",".265",".292",".066",".275",".293",,27.8,1.4,18.1,60.8,22.6,19.7,"72"
"Kipnis, Jason","543401","2020","135",".180",".332",".326",".282",".293",".152",".409",".330",,28,9.3,30.7,58.6,23.3,26.6,"75"
"Marmolejos, José","592530","2020","115",".234",".449",".287",".317",".288",".216",".366",".413",,33.3,12,45.3,61.3,29.4,33,"75"
"Gamel, Ben","592325","2020","127",".267",".407",".313",".330",".342",".140",".409",".438",,49.3,6.7,32,59.3,25.1,28.6,"75"
"Kendrick III, Howie","435062","2020","100",".282",".450",".298",".332",".333",".168",".338",".382",,39.5,6.6,39.5,65.9,35.7,20.7,"76"
"Paredes, Isaac","670623","2020","108",".212",".273",".255",".247",".271",".061",".289",".277",,35.5,0,26.3,60.3,25.1,17.6,"76"
"Carlson, Dylan","666185","2020","119",".246",".441",".264",".314",".294",".196",".340",".418",,40.8,9.2,42.1,59.3,24.5,31.2,"76"
"Kemp, Matt","461314","2020","132",".226",".430",".322",".321",".314",".205",".426",".425",,38.2,7.9,28.9,64.8,28.7,36.3,"76"
"Smoak, Justin","475253","2020","132",".187",".327",".265",".260",".260",".139",".340",".331",,33.3,3.8,39.7,65.4,22.6,31.4,"78"
"Choo, Shin-Soo","425783","2020","127",".254",".455",".312",".340",".338",".202",".373",".418",,38,10.1,35.4,61,20.4,32.9,"79"
"Gyorko, Jedd","576397","2020","135",".249",".505",".351",".357",".336",".256",".451",".460",,35.8,16,43.2,60.2,25.9,31.8,"81"
"DeShields, Delino","592261","2020","120",".225",".303",".280",".267",".285",".077",".336",".316",,30.5,1.2,19.5,67.6,23.8,28.3,"82"
"Meadows, Austin","640457","2020","152",".186",".344",".292",".278",".282",".158",".378",".356",,28.6,7.1,44,67.5,26.9,31.4,"84"
"Romine, Austin","519222","2020","135",".207",".296",".253",".231",".230",".090",".373",".340",,33.3,4.8,47.6,71.2,36.6,29.9,"84"
"Calhoun, Willie","641432","2020","108",".194",".271",".217",".234",".244",".077",".226",".248",,25.9,1.2,38.8,65.6,22.4,14.7,"85"
"Naylor, Josh","647304","2020","104",".275",".383",".274",".309",".317",".108",".283",".324",,28.2,3.5,34.1,69.8,27.7,15.6,"85"
"Caratini, Victor","605170","2020","132",".216",".318",".297",".285",".311",".102",".333",".314",,25.9,3.5,36.5,61.7,20.8,23.6,"85"
"Bote, David","623520","2020","145",".227",".412",".309",".325",".327",".185",".366",".393",,25.6,10.5,52.3,58.2,21.7,27.8,"86"
"Maldonado, Martín","455117","2020","165",".202",".357",".326",".316",".339",".156",".400",".379",,38.4,8.1,26.7,62.7,23.9,29.1,"86"
"Hoerner, Nico","663538","2020","126",".243",".315",".265",".297",".332",".072",".263",".309",,27.9,1.2,37.2,58.1,32.5,18.9,"86"
"Pederson, Joc","592626","2020","138",".237",".450",".297",".339",".327",".213",".338",".404",,26.4,10.3,44.8,67,28.3,30.9,"87"
"Joyce, Matt","459964","2020","148",".227",".337",".310",".310",".335",".110",".366",".368",,36.8,3.4,32.2,66.5,25.6,33.1,"87"
"Walsh, Jared","665120","2020","108",".272",".531",".393",".355",".310",".259",".439",".392",,29.9,12.6,39.1,67.5,33.2,22.8,"87"
"Albies, Ozzie","645277","2020","124",".234",".411",".329",".294",".271",".177",".416",".367",,35.2,9.1,28.4,81.8,33.8,24.8,"88"
"Chapman, Matt","656305","2020","152",".245",".542",".335",".350",".290",".298",".502",".530",,40.4,18,51.7,64.9,25,36.2,"89"
"Choi, Ji Man","596847","2020","145",".193",".303",".316",".276",".307",".110",".367",".303",,30.3,3.4,39.3,67.9,22.3,31.7,"89"
"Gomes, Yan","543228","2020","119",".283",".462",".332",".338",".322",".179",".384",".393",,38.9,5.6,37.8,65.5,33.2,22.4,"90"
"Soler, Jorge","624585","2020","174",".243",".487",".332",".354",".339",".244",".462",".505",,36.7,18.9,51.1,56.5,23.4,37.2,"90"
"Odor, Rougned","596059","2020","148",".195",".423",".259",".282",".240",".228",".351",".391",,28,11.8,32.3,67,33.7,25.7,"93"
"Peraza, José","606299","2020","120",".241",".360",".270",".291",".292",".120",".284",".311",,37.2,4.3,27.7,71.6,40.8,21.5,"94"
"Naquin, Tyler","571980","2020","141",".265",".473",".268",".326",".294",".207",".353",".440",,34.7,9.5,51.6,80.5,35.7,31.1,"95"
"Suzuki, Kurt","435559","2020","129",".243",".348",".326",".308",".330",".105",".332",".306",,31.6,3.2,24.2,68.8,27.8,16.9,"95"
"Sanó, Miguel","593934","2020","205",".215",".483",".317",".326",".288",".267",".542",".564",,31.3,22.9,57.3,70.3,28,42.6,"96"
"Madrigal, Nick","663611","2020","109",".302",".355",".332",".314",".341",".052",".333",".312",,30.2,0,19.8,62,26.1,10.7,"96"
"Buxton, Byron","621439","2020","135",".249",".548",".345",".335",".262",".299",".463",".450",,25,13.5,47.9,79,48.9,28.9,"96"
"Kiermaier, Kevin","595281","2020","159",".249",".377",".301",".325",".348",".129",".350",".389",,28.1,6.3,41.7,73.7,24.1,30.1,"96"
"Gardner, Brett","458731","2020","158",".226",".370",".332",".327",".357",".144",".349",".342",,35.4,5.2,36.5,58.9,16.6,24.6,"96"
"Bichette, Bo","666182","2020","128",".292",".532",".353",".359",".320",".240",".438",".445",,37.5,12.5,40.6,71.5,43.4,21.6,"96"
