"last_name, first_name","player_id","year","pa","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","avg_swing_length","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","whiff_percent","batted_ball"
"Moncada, Yoán","660162","2020","231",".207",".336",".309",".290",".306",".129",".394",".359",,33.8,6.2,33.1,63.1,27.5,30.5,"130"
"Lopez, Nicky","670032","2020","192",".238",".308",".254",".287",".319",".070",".265",".315",,30.5,1.5,26.7,64.2,25.2,21,"131"
"Hicks, Aaron","543305","2020","211",".256",".435",".351",".374",".405",".179",".344",".380",,29.8,6.9,38.2,66.6,15.4,27.9,"131"
"Eaton, Adam","594809","2020","176",".248",".389",".287",".303",".305",".141",".321",".342",,30.5,4.6,38.2,68.5,33.8,16.6,"131"
"Robert Jr., Luis","673357","2020","227",".221",".462",".316",".326",".296",".241",".430",".449",,36.6,13,40.5,81.1,39.6,41.5,"131"
"Suárez, Eugenio","553993","2020","231",".216",".472",".332",".342",".325",".255",".414",".431",,29.5,14.4,44.7,63.4,23.9,31.7,"132"
"García, Avisaíl","541645","2020","207",".244",".375",".296",".317",".339",".131",".331",".365",,37.1,3.8,37.1,78.7,34.4,34.7,"132"
"González, Erik","570481","2020","193",".237",".396",".262",".293",".276",".158",".337",".382",,33.6,6.7,44,73.7,35.2,32,"134"
"Smith, Dominic","642086","2020","199",".303",".566",".412",".392",".365",".264",".508",".480",,43,13.3,46.7,71.7,33.8,26,"135"
"Happ, Ian","664023","2020","231",".261",".469",".369",".362",".365",".208",".465",".455",,37.5,10.3,48.5,64.4,24.2,35.7,"136"
"Duvall, Adam","594807","2020","209",".228",".516",".348",".342",".294",".288",".439",".430",,30.7,13.9,40.1,66.5,32.7,27.1,"137"
"Riley, Austin","663586","2020","206",".265",".474",".307",".342",".325",".208",".369",".421",,30.7,10,42.9,77.9,32.3,30.1,"140"
