"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Hayes, Ke'Bryan",663647,2022,560,0.246,0.35,0.294,0.3,0.318,0.104,0.333,0.341,,30.6,3.9,46.8,61.2,27.1,20.7,385,106.8,34.1
"Tucker, Kyle",663656,2022,609,0.262,0.482,0.348,0.353,0.336,0.22,0.378,0.386,,34.4,10.2,42.4,80.2,26.1,20.0,451,104.11,54.1
"India, Jonathan",663697,2022,431,0.238,0.353,0.314,0.301,0.318,0.116,0.357,0.339,,36.0,4.8,28.8,56.9,24.5,23.6,292,103.5,32.4
"Raleigh, Cal",663728,2022,415,0.216,0.461,0.33,0.324,0.29,0.246,0.432,0.422,,36.0,15.4,43.5,77.6,31.1,32.1,253,105.4,46.49999999999999
"Grisham, Trent",663757,2022,524,0.205,0.358,0.28,0.296,0.303,0.153,0.333,0.361,,25.5,8.1,35.5,56.1,20.7,26.2,310,104.22,35.400000000000006
"Vierling, Matt",663837,2022,357,0.275,0.404,0.285,0.324,0.328,0.129,0.321,0.374,,35.2,5.0,47.1,59.9,28.3,19.5,261,105.7,31.599999999999998
"Rodgers, Brendan",663898,2022,581,0.265,0.404,0.321,0.326,0.33,0.139,0.354,0.361,,31.3,7.2,45.9,72.1,27.2,22.7,431,105.4,44.89999999999999
"Lowe, Nathaniel",663993,2022,645,0.275,0.459,0.368,0.344,0.333,0.184,0.453,0.419,,34.1,9.9,44.8,74.0,29.2,24.9,446,106.7,44.8
"Happ, Ian",664023,2022,641,0.239,0.379,0.339,0.306,0.315,0.14,0.408,0.359,,29.2,6.5,40.4,71.8,26.6,27.2,428,105.07,45.199999999999996
"France, Ty",664034,2022,613,0.262,0.397,0.337,0.321,0.33,0.135,0.364,0.342,,34.8,5.4,36.8,75.8,31.9,19.3,462,104.34,43.9
"Straw, Myles",664702,2022,596,0.236,0.301,0.257,0.275,0.306,0.065,0.254,0.278,,34.1,0.7,26.5,57.9,19.6,12.6,454,98.89000000000001,38.3
"Bohm, Alec",664761,2022,631,0.29,0.436,0.31,0.333,0.327,0.146,0.353,0.383,,37.7,6.8,43.0,72.0,31.4,21.1,486,104.8,40.6
"Brown, Seth",664913,2022,555,0.251,0.454,0.323,0.338,0.324,0.203,0.404,0.426,,34.9,13.0,41.4,69.7,29.1,29.6,355,107.25,40.6
"McCarthy, Jake",664983,2022,354,0.249,0.357,0.337,0.298,0.31,0.108,0.399,0.343,,32.5,4.8,33.7,74.7,29.7,28.0,249,102.5,45.0
