last_name,first_name,player_id,year,PA,wOBA,xwOBA,xBA,xSLG,Barrel%,HardHit%,O-Contact%,Z-Contact%,O-Swing%,Z-Swing%,Whiff%,Z-O Swing%,Pulled FB%,EV90,Sweet Spot%,Bat Speed
Mullins,Cedric,656775.0,2024,499,0.31,0.291,0.227,0.355,0.048,0.33,0.688,0.895,0.307,0.7390000000000001,0.08800000000000001,0.4320000000000001,9.714285714285714,102.04,32.57142857142858,67.77636363636363
Clement,Ernie,676391.0,2024,452,0.297,0.286,0.256,0.377,0.038,0.249,0.8190000000000001,0.9259999999999999,0.465,0.705,0.07,0.23999999999999994,13.85390428211587,99.75,34.005037783375315,64.19547218628719
Kiner-Falefa,Isiah,643396.0,2024,496,0.299,0.283,0.251,0.346,0.023,0.29600000000000004,0.772,0.94,0.32799999999999996,0.626,0.057999999999999996,0.29800000000000004,14.030612244897958,100.9,31.63265306122449,64.87668965517241
Realmuto,J.T.,592663.0,2024,413,0.326,0.339,0.268,0.459,0.10400000000000001,0.466,0.618,0.8759999999999999,0.348,0.7120000000000001,0.113,0.3640000000000001,10.39426523297491,105.36,37.634408602150536,71.74285714285715
Langeliers,Shea,669127.0,2024,534,0.315,0.328,0.241,0.456,0.128,0.44,0.588,0.836,0.344,0.711,0.131,0.367,10.204081632653061,107.0,34.98542274052478,72.88272532188843
II,Michael,671739.0,2024,470,0.312,0.344,0.284,0.461,0.1,0.47,0.67,0.8390000000000001,0.426,0.7070000000000001,0.129,0.2810000000000001,10.888252148997136,108.6,34.097421203438394,73.08410438908659
Arozarena,Randy,668227.0,2024,648,0.32,0.321,0.216,0.377,0.083,0.435,0.6459999999999999,0.785,0.273,0.617,0.111,0.344,10.9375,105.1,28.385416666666668,70.28423507462686
Perdomo,Geraldo,672695.0,2024,388,0.317,0.282,0.231,0.314,0.031,0.258,0.7909999999999999,0.9470000000000001,0.221,0.606,0.04,0.385,12.714776632302405,100.4,29.896907216494846,62.909391304347814
Bogaerts,Xander,593428.0,2024,463,0.3,0.306,0.263,0.383,0.051,0.332,0.693,0.912,0.29,0.619,0.073,0.329,12.931034482758621,102.84,32.4712643678161,68.69425770308123
Horwitz,Spencer,687462.0,2024,381,0.344,0.338,0.254,0.419,0.08,0.366,0.7440000000000001,0.8809999999999999,0.301,0.664,0.078,0.36300000000000004,13.740458015267176,102.0,37.786259541984734,67.89785100286532
Diaz,Yandy,650490.0,2024,621,0.331,0.336,0.277,0.423,0.076,0.48700000000000004,0.7709999999999999,0.9259999999999999,0.256,0.665,0.054000000000000006,0.40900000000000003,12.076271186440678,108.02,28.177966101694917,72.0804435483871
Abrams,CJ,682928.0,2024,602,0.322,0.319,0.247,0.409,0.069,0.40700000000000003,0.679,0.8370000000000001,0.38799999999999996,0.7170000000000001,0.121,0.3290000000000001,11.483253588516746,103.65,33.49282296650718,69.80930640913081
